Year,Make,Model,"Model Series","Exterior Color","Interior Color",Grade,Vda,Mileage,"Buy Now Price",VIN,"Due Location Name",City,State,Zip,Note,"Note Updated On","Early Access Est Available On"
2024,BUICK,"ENCORE GX","SPORT TOURING",GRAY,"EBONY SEATS WITH EBONY INTERIOR ACCENTS",,0.00,20912,23600.00,KL4AMESL8RB183172,"AUCTION Manheim New England - T","North Dighton",MA,02764,,,
2024,BUICK,"ENCORE GX","SPORT TOURING",WHITE,"EBONY SEATS WITH EBONY INTERIOR ACCENTS",4.7,0.00,22403,21500.00,KL4AMDSL5RB183625,"AUCTION Manheim New England - T","North Dighton",MA,02764,,,
2024,BUICK,"ENCORE GX","SPORT TOURING",BLACK,"EBONY SEATS WITH EBONY INTERIOR ACCENTS",,0.00,20464,22000.00,KL4AMDSL1RB180723,"PROVIDENCE T F  AP",Providence,RI,02886,,,
2024,BUICK,"ENCORE GX","SPORT TOURING",GRAY,"EBONY SEATS WITH EBONY INTERIOR ACCENTS",4.1,0.00,24682,21000.00,KL4AMDSL3RB161218,"AUCTION Manheim New England - T","North Dighton",MA,02764,,,
2024,BUICK,"ENCORE GX","SPORT TOURING",BLACK,"EBONY SEATS WITH EBONY INTERIOR ACCENTS",4.7,1139.00,21073,21800.00,KL4AMESL0RB165359,"AUCTION Manheim Philadelphia - T",Hatfield,PA,19440,,,
2024,CHEVROLET,BLAZER,LT,WHITE,"JET BLACK",,0.00,20925,31900.00,3GNKBJR44RS167926,"RETAIL WINSTON-SALEM #123 Title",Winston-Salem,NC,27103,,,
2024,CHEVROLET,BLAZER,LT,GRAY,"JET BLACK/MEDIUM GRAY",,0.00,28177,28700.00,3GNKBHR45RS168365,"RETAIL INDEPENDENCE #205 Title",Charlotte,NC,28205,,,
2024,CHEVROLET,BLAZER,LT,WHITE,"JET BLACK",,595.00,24976,27500.00,3GNKBDR43RS168020,"RETAIL INDEPENDENCE #205 Title",Charlotte,NC,28205,,,
2024,CHEVROLET,BLAZER,LT,GRAY,"JET BLACK/MEDIUM GRAY",,578.00,26572,28900.00,3GNKBHR40RS164403,"AUCTION Manheim Nashville - W","Mount Juliet",TN,37122,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,9681,48100.00,1GAZGPFP1R1237550,"RHP AP O'HARE","Chicago ",IL,60666,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,,,0.00,12500,48100.00,1GAZGPFP1R1202698,"NEW ORLEANS AP","New Orleans Ap",LA,70062,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,,,0.00,8987,48100.00,1GAZGPFP1R1237676,"RONALD REAGAN INT L","Washgtn Nat'L Ap",VA,20001,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,23945,47000.00,1GAZGPFP6R1214152,"SHERATON BROOKFIELD",Brookfield,WI,53045,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,,,0.00,5225,48100.00,1GAZGPFP0R1273147,"GOODMAN ROAD HLE",Memphis,TN,38116,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,494.00,7160,48100.00,1GAZGPFP4R1227093,"DT BIRMINGHAM HLE",Birmingham,AL,35233,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,7510,48100.00,1GAZGPFP2R1201253,"ZR MEMPHIS AP",Memphis,TN,38116,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,121,48100.00,1GAZGPFP9R1263670,"NORFOLK A P COUNTER",Norfolk,VA,23518,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,21439,47400.00,1GAZGPFPXR1214008,"NEW ORLEANS AP","New Orleans Ap",LA,70062,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,3611,48100.00,1GAZGPFP5R1200789,"RHP AP CHARLOTTE",Charlotte,NC,28214,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,18650,48000.00,1GAZGPFPXR1200139,"ZT ATLANTA INTL AP","Atlanta Ap",GA,30337,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,,,0.00,339,48100.00,1GAZGPFP7R1263196,"NORFOLK A P COUNTER",Norfolk,VA,23518,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,1512.00,17713,48100.00,1GAZGPFP4R1206244,"RHP AP O'HARE","Chicago ",IL,60666,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,1393,48100.00,1GAZGPFPXR1216700,"ZR MEMPHIS AP",Memphis,TN,38116,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,10674,48100.00,1GAZGPFP1R1233336,"ELIZABETHTOWNE  HLE",Elizabethtown,KY,42701,,,
2024,CHEVROLET,EXPRESS,LT,,"MEDIUM PEWTER",,0.00,2876,48100.00,1GAZGPFP1R1237399,"COLUMBUS CENTRAL AVE",Columbus,IN,47201,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,16448,48100.00,1GAZGPFP6R1202308,"STATEN ISLAND","Staten Island",NY,10310,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,16878,48100.00,1GAZGPFP7R1203497,"NEWARK  NJ NEWARK LI",Newark,NJ,07114,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,14577,48100.00,1GAZGPFP8R1160028,"NASHVILLE DOWNTOWN H",Nashville,TN,37209,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,,,0.00,605,48100.00,1GAZGPFP5R1263293,"NORFOLK A P COUNTER",Norfolk,VA,23518,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,207,48100.00,1GAZGPFP2R1263350,"NORFOLK A P COUNTER",Norfolk,VA,23518,,,
2024,CHEVROLET,EXPRESS,LT,WHITE,"MEDIUM PEWTER",,0.00,6222,48100.00,1GAZGPFP9R1214257,"RHP AP O'HARE","Chicago ",IL,60666,,,
