"Year","Make","Model","Model Series","Exterior Color","Interior Color","Grade","Vda","Mileage","Buy Now Price","VIN","Due Location Name","City","State","Zip","Early Access Est Available On"
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4","0.00","5770","20900.00","1G1FY6S09P4128378","AUCTION Manheim St.Louis - T","Bridgeton","MO","63044",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4","3547.00","38045","18700.00","1G1FY6S08P4128565","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.6","8315.00","43612","18500.00","1G1FY6S08P4128114","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.2","0.00","14079","20400.00","1G1FY6S07P4152761","AUCTION Manheim Detroit - TH","Carleton","MI","48117",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.5","425.00","13220","20600.00","1G1FY6S07P4151058","AUCTION Manheim Tampa - TH","Tampa","FL","33619",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.1","0.00","15282","20300.00","1G1FY6S07P4150878","AUCTION Manheim Statesville - M","Statesville","NC","28625",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.3","0.00","11766","20500.00","1G1FY6S07P4148225","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.6","0.00","39222","18800.00","1G1FY6S06P4148524","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.2","0.00","10832","20600.00","1G1FY6S05P4156873","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.1","0.00","19868","20000.00","1G1FY6S05P4156629","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.5","1728.00","21294","20100.00","1G1FY6S05P4156551","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.8","0.00","9848","20800.00","1G1FY6S04P4153186","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.4","0.00","12085","20500.00","1G1FY6S03P4151011","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","3.9","1661.00","13904","20200.00","1G1FY6S03P4150716","AUCTION Manheim Balt Wash - T","Elkridge","MD","21075",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","3.9","6752.00","10542","20400.00","1G1FY6S03P4147802","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","3.7","0.00","15223","20100.00","1G1FY6S03P4132992","AUCTION Manheim Minneapolis - W","Maple Grove","MN","55369",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.5","0.00","42727","18500.00","1G1FY6S03P4130014","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.5","0.00","34750","19100.00","1G1FY6S02P4147824","AUCTION Manheim Tampa - TH","Tampa","FL","33619",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","2.4","2716.00","13429","19600.00","1G1FY6S02P4143692","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.6","2524.00","30011","19500.00","1G1FY6S02P4129890","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","3","2706.00","23437","19700.00","1G1FY6S02P4129694","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4","0.00","12874","20400.00","1G1FY6S02P4129615","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.1","2592.00","37709","18800.00","1G1FY6S01P4147720","AUCTION Manheim Statesville - M","Statesville","NC","28625",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.3","12137.00","14619","20300.00","1G1FY6S09P4128851","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.2","0.00","18278","20100.00","1G1FY6S06P4128872","AUCTION Manheim Detroit - TH","Carleton","MI","48117",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.8","0.00","10743","20800.00","1G1FY6S05P4147820","AUCTION Manheim Tampa - TH","Tampa","FL","33619",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","2.9","3969.00","18979","19300.00","1G1FY6S05P4143962","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","3.8","1731.00","12313","20500.00","1G1FY6S03P4144298","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","0.00","43687","18000.00","1G1FY6S03P4143989","AUCTION Adesa Boston - F","Framingham","MA","01702",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.3","870.00","26368","19500.00","1G1FY6S03P4143653","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.4","1.00","9324","20700.00","1G1FY6S03P4143538","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.4","0.00","27399","19500.00","1G1FY6S02P4129498","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.1","348.00","11338","20500.00","1G1FY6S01P4153078","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.1","7553.00","9370","20700.00","1G1FY6S01P4153002","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","3.2","1203.00","13572","20000.00","1G1FY6S01P4150844","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","3","1866.00","10078","20600.00","1G1FY6S01P4148611","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.4","0.00","20438","19900.00","1G1FY6S01P4144204","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","3.8","0.00","17333","19900.00","1G1FY6S01P4143456","AUCTION Manheim Cleveland - W","Brook Park","OH","44142",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","3.8","0.00","12730","20300.00","1G1FY6S01P4143294","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.5","4060.00","13120","20600.00","1G1FY6S01P4142114","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.4","0.00","16801","20200.00","1G1FY6S00P4153248","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.2","0.00","13400","20400.00","1G1FY6S00P4151113","AUCTION Manheim Balt Wash - T","Elkridge","MD","21075",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.6","5978.00","10367","20800.00","1G1FY6S00P4148695","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.3","0.00","11861","20500.00","1G1FY6S00P4144596","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.1","0.00","14312","20300.00","1G1FY6S00P4143707","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.2","1128.00","36160","18900.00","1G1FY6S00P4143304","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","3.3","0.00","24404","19300.00","1G1FY6S00P4143089","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4","0.00","18082","20100.00","1G1FY6S00P4129631","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","3","0.00","22927","19600.00","1G1FY6S00P4129466","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","4325.00","12855","19500.00","1G1FY6S00P4128642","AUCTION Adesa Orlando/Sanford - T","Sandford","FL","32771",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","3455.00","11092","20200.00","1G1FY6S05P4147137","AUCTION Manheim Ft. Lauderdale - F","Davie","FL","33314",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","2758.00","27903","19200.00","1G1FY6S0XP4144847","RHP AP MINNEAPOLIS","ST Paul","MN","55116",""
"2023","CHEVROLET","BOLT EUV","LT","","BLA","","7843.00","26457","19300.00","1G1FY6S0XP4144752","","","","60448",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","2042.00","12047","20300.00","1G1FY6S0XP4128437","LYFT NEW ORLEANS HAR","Harvey","LA","70058",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","3029.00","20933","19700.00","1G1FY6S0XP4128325","RHP AP TAMPA","Tampa","FL","33607",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","4405.00","15068","20100.00","1G1FY6S0XP4128227","ZT ORLANDO INTL AP","","","32827",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","6018.00","18076","19900.00","1G1FY6S04P4150692","RHP AP DULLES","Sterling","VA","20166",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","5567.00","14809","20100.00","1G1FY6S04P4150644","RHP AP CHARLOTTE","Charlotte","NC","28214",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","2239.00","14034","20100.00","1G1FY6S04P4144536","RHP AP DULLES","Sterling","VA","20166",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","3487.00","32077","19000.00","1G1FY6S04P4129518","RHP AP PHILADELPHIA","Philadelphia","PA","19153",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","3044.00","17134","19900.00","1G1FY6S03P4144379","RHP AP PHILADELPHIA","Philadelphia","PA","19153",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","3074.00","26829","19300.00","1G1FY6S09P4151160","ZR ATLANTA HARTSFIEL","Atlanta Ap","GA","30337",""
"2023","CHEVROLET","BOLT EUV","LT","","BLA","","5553.00","24753","19400.00","1G1FY6S09P4142118","","","","30069",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","2669.00","27437","19200.00","1G1FY6S07P4129660","AUCTION Manheim Ft. Lauderdale - F","Davie","FL","33314",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","3536.00","21270","19700.00","1G1FY6S08P4128856","RHP AP ST. LOUIS","St. Louis","MO","63134",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","4071.00","27967","19200.00","1G1FY6S07P4141775","UBER  ORLANDO","Orlando","MD","32812",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","3187.00","20960","19700.00","1G1FY6S02P4128030","ZT ORLANDO INTL AP","Orlando","FL","32812",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","3779.00","27528","19200.00","1G1FY6S01P4151086","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","2595.00","35489","18700.00","1G1FY6S01P4144736","RHP AP O'HARE","Chicago ","IL","60666",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","3763.00","12841","20200.00","1G1FY6S01P4141822","RHP AP SARASOTA","Sarasota","FL","34243",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","2024.00","20402","19700.00","1G1FY6S00P4156781","RHP AP PHILADELPHIA","Philadelphia","PA","19153",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","2176.00","22495","19600.00","1G1FY6S06P4143484","LYFT ALEXANDRIA","","","22304",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","2903.00","25462","19400.00","1G1FY6S09P4142099","ATLANTA AP","College Park","GA","30337",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","2260.00","10834","20300.00","1G1FY6S00P4152651","ZR RICHMOND INTL AP","","","23250",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","5994.00","16786","20000.00","1G1FY6S08P4144474","UBER N MILWAUKEE","Milwaukee","WI","53223",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","0.00","9383","22300.00","1G1FY6S08P4143700","HUB MANHEIM WEST PAL","","","33004",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","2359.00","26072","19400.00","1G1FY6S00P4144467","UBER  MOKENA","Mokena","IL","60448",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","4691.00","32637","18900.00","1G1FY6S00P4144419","RHP AP O'HARE","Chicago ","IL","60666",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","2733.00","36173","18700.00","1G1FY6S08P4129568","UBER ATLANTA   MARIE","Marietta","GA","30069",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","0.00","16380","21800.00","1G1FY6S03P4144477","ADESA SYRACUSE NY","","","13212",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","3.2","0.00","16211","19800.00","1G1FY6S08P4144619","AUCTION Manheim Minneapolis - W","Maple Grove","MN","55369",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","4857.00","27867","19200.00","1G1FY6S01P4144459","UBER PHILADELPHIA ES","Philadelphia","PA","19153",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","6278.00","13391","20200.00","1G1FY6S01P4142260","UBER HARVEY","Harvey","LA","70058",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.3","5690.00","18726","20000.00","1G1FY6S04P4151034","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","11642.00","30518","19100.00","1G1FY6S00P4151936","BEDFORD PARK PEP BOY","Bedford Park","IL","60638",""
"2023","CHEVROLET","BOLT EUV","LT","","BLA","","2391.00","30222","19100.00","1G1FY6S09P4150932","","","","14094",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","4144.00","18272","19900.00","1G1FY6S09P4150719","RHP AP BWI","Hanover","MD","21076",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","3859.00","10227","20400.00","1G1FY6S05P4143878","RHP AP DTG HARTFORD","Windsor Locks","CT","06096",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","0.00","31966","20500.00","1G1FY6S03P4144057","AUCTION Adesa New Jersey - TH","Manville","NJ","08835",""
